"URL","IP countries","IP regions","Versions","Languages","Hits"
"https://tiendamia.com","US","","","es,mt","3847"
"https://marketplace.magento.com","US","","2","en,so","3486"
"https://www.alkosto.com","US","VA","Enterprise","en,es","3442"
"https://www.yogastudiostore.com","GB","","2","en","2754"
"https://www.roguefitness.com","US","","Enterprise","bg,ca,cy,en,fr,mt,no,vi","2425"
"https://us.junaidjamshed.com","US","VA","2","en-CA,en-US","2240"
"https://www.pcdiga.com","US","","2","pt,pt-PT","2143"
"https://www.walletking.co.uk","DE","","2","en","2143"
"https://khaadi.com","US","","2","en","2112"
"https://amasty.com","US","FL","","ca,en,en-US,fr,hu,mt,pl","2087"
"https://oiler.ua","UA","","","ru","2065"
"https://leddo.pl","PL","","2","pl","1950"
"https://market.educationcity.qa","NL","NH","2","en","1941"
"https://www.numerounojeanswear.com","SG","","2","en","1870"
"https://www.teleshoptv.ro","US","","","en,ro","1741"
"https://www.sossolutions.nl","NL","","2","nl","1722"
"http://honeycomb.idroidsoftware.com","IN","GJ","2","en","1695"
"https://www.streetconnexion.fr","FR","","2","fr-FR","1600"
"https://www.pichau.com.br","US","","2","pt","1505"
"https://developpement.arprotech.com","FR","","2","fr","1497"
"https://ageniz.com","","","","fa","1487"
"https://douglas.bg","US","","2","bg,en","1471"
"https://account.magento.com","US","VA","2","en","1466"
"http://dh.valuescale.co.in","IN","KA","2","en","1431"
"https://myanker.com.au","AU","NSW","2","en","1383"
"https://trade.theromogroup.com","GB","","","fr","1370"
"http://www.freshcity.co.ke","DE","HE","2","en","1356"
"https://store.pggwrightson.co.nz","AU","NSW","2","en","1326"
"https://www.cookwarebrands.com.au","US","WA","2","en","1311"
"https://www.oneplus.com","US","","","ar-SA,cn,de-DE,en,en-CA,en-GB,en-US,es-ES,fr-BE,fr-FR,it-IT,nl-NL,zh-CN","1302"
"https://www.easternserenity.com","US","CA","2","mt,th","1286"
"http://evolutionhomecorp.com","US","","2","en","1280"
"https://www.packtpub.com","US","","2","en","1274"
"https://cplonline.com.au","AU","NSW","Community","en","1264"
"https://ezetera.com","US","CA","2","en,es","1256"
"https://www.cdkeys.com","US","","","en,es,fr,it,mt,pl","1252"
"https://www.vitamincenter.it","AU","NSW","2","en,it","1229"
"https://www.tuttospinning.com","IT","62","Community","en,it","1227"
"https://allo.ua","LV","","Enterprise","cy,en,ru,uk","1225"
"https://www.uniqlo.com","US","","Enterprise","en,en-US,th","1217"
"https://3fifteenbeauty.com","US","","2","en","1204"
"https://www.tiendamonge.com","AU","NSW","2","en,es","1197"
"https://runastore.pe","US","MI","","en,es","1190"
"https://b2b.selena.com","PL","MA","2","en,pl","1166"
"https://shop.amocc-furniture.com","US","","2","ja","1158"
"https://pieers.com","US","MI","","en,es","1136"
"https://keewah.store","SG","","2","en,zh","1134"
"https://www.ktronix.com","US","VA","Enterprise","en,es","1131"
"https://www.junaidjamshed.com","AU","NSW","2","en","1114"
"http://www.specstree.com","IN","MH","","en","1114"
"https://distance.eu","IE","L","2","en","1111"
"https://www.selection-prestige.de","US","","","en","1084"
"https://www.mauiandsons.cl","US","OR","2","es-CL","1081"
"https://www.pepperfry.com","US","","","en,fr","1073"
"https://alena-firany.pl","PL","","","pl","1055"
"https://www.evisu.com","AU","NSW","2","en","1049"
"https://www.politikos-shop.gr","DE","","2","el,en","1033"
"https://www.trendy-tracker.com","US","MI","2","en","1016"
"http://192.168.10.250","","","2","en","1014"
"https://www.schilderkroeten.de","DE","","","de","1014"
"https://zayla.sk","CZ","","2","en,sk","1003"
"https://www.uinlifestyle.com","US","CA","2","en","1002"
